ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
36,London,Wimbledon,01/07/2025,Grand Slam,Outdoor,Grass,1st Round,5,De Jong J.,Eubanks C.,106,130,548,454,6,3,6,7,6,7,6,3,7,6,3,2,Completed,1.75,2.1,1.67,2.33,1.8,2.34,1.71,2.13
36,London,Wimbledon,01/07/2025,Grand Slam,Outdoor,Grass,1st Round,5,Navone M.,Shapovalov D.,91,30,670,1676,3,6,6,4,6,1,6,4,,,3,1,Completed,6,1.13,6.24,1.15,6.6,1.17,5.96,1.13
36,London,Wimbledon,01/07/2025,Grand Slam,Outdoor,Grass,1st Round,5,Munar J.,Bublik A.,55,31,1012,1675,6,4,3,6,4,6,7,6,6,2,3,2,Completed,4.33,1.22,4.76,1.22,5.1,1.23,4.37,1.21
36,London,Wimbledon,01/07/2025,Grand Slam,Outdoor,Grass,1st Round,5,Sinner J.,Nardi L.,1,95,10430,655,6,4,6,3,6,0,,,,,3,0,Completed,1.01,13,,,1.02,65,1.01,22.92
36,London,Wimbledon,01/07/2025,Grand Slam,Outdoor,Grass,1st Round,5,Ofner S.,Medjedovic H.,165,68,343,896,7,6,3,1,,,,,,,1,0,Retired,2.5,1.53,2.65,1.53,2.74,1.56,2.51,1.53
36,London,Wimbledon,01/07/2025,Grand Slam,Outdoor,Grass,1st Round,5,Martinez P.,Loffhagen G.,52,293,1030,185,2,6,6,2,6,4,6,2,,,3,1,Completed,3.6,1.3,3.74,1.31,3.74,1.36,3.5,1.3
36,London,Wimbledon,01/07/2025,Grand Slam,Outdoor,Grass,1st Round,5,Van De Zandschulp B.,Arnaldi M.,92,43,670,1215,7,6,7,6,6,4,,,,,3,0,Completed,2.25,1.67,2.32,1.67,2.34,1.72,2.22,1.66
36,London,Wimbledon,01/07/2025,Grand Slam,Outdoor,Grass,1st Round,5,Mochizuki S.,Zeppieri G.,144,351,413,140,2,6,3,6,6,3,7,6,7,5,3,2,Completed,1.5,2.6,1.51,2.73,1.53,2.82,1.48,2.66
36,London,Wimbledon,01/07/2025,Grand Slam,Outdoor,Grass,1st Round,5,Evans D.,Clarke J.,154,196,375,283,6,1,7,5,6,2,,,,,3,0,Completed,1.18,5,1.19,5.22,1.22,5.3,1.19,4.76
36,London,Wimbledon,01/07/2025,Grand Slam,Outdoor,Grass,1st Round,5,Moutet C.,Comesana F.,69,65,894,914,6,4,6,4,6,2,,,,,3,0,Completed,1.45,2.8,1.51,2.75,1.56,2.8,1.47,2.66
36,London,Wimbledon,01/07/2025,Grand Slam,Outdoor,Grass,1st Round,5,Fritz T.,Mpetshi G.,5,36,4635,1411,6,7,6,7,6,4,7,6,6,4,3,2,Completed,1.15,5.5,1.18,5.56,1.18,6.2,1.15,5.32
36,London,Wimbledon,01/07/2025,Grand Slam,Outdoor,Grass,1st Round,5,Holmgren A.,Halys Q.,192,46,285,1174,7,6,6,3,6,4,,,,,3,0,Completed,5,1.17,5.64,1.17,5.7,1.2,5.24,1.16
36,London,Wimbledon,01/07/2025,Grand Slam,Outdoor,Grass,1st Round,5,Machac T.,Dzumhur D.,23,67,2110,900,6,3,6,2,6,4,,,,,3,0,Completed,1.2,4.5,1.22,4.82,1.24,5,1.19,4.73
36,London,Wimbledon,01/07/2025,Grand Slam,Outdoor,Grass,1st Round,5,Rinderknech A.,Zverev A.,72,3,873,6500,7,6,6,7,6,3,6,7,6,4,3,2,Completed,7.5,1.08,8.34,1.1,9.2,1.11,7.2,1.1
36,London,Wimbledon,01/07/2025,Grand Slam,Outdoor,Grass,1st Round,5,Cobolli F.,Zhukayev B.,24,247,2035,229,6,3,7,6,6,1,,,,,3,0,Completed,1.33,3.4,1.3,3.81,1.35,3.81,1.31,3.44
36,London,Wimbledon,01/07/2025,Grand Slam,Outdoor,Grass,1st Round,5,Mensik J.,Gaston H.,17,86,2356,693,6,1,4,6,6,2,6,2,,,3,1,Completed,1.07,8.5,1.08,10.35,1.1,10.5,1.07,8.63
36,London,Wimbledon,01/07/2025,Grand Slam,Outdoor,Grass,1st Round,5,Cilic M.,Collignon R.,83,85,722,705,6,3,6,4,6,3,,,,,3,0,Completed,1.08,7,1.09,9.03,1.12,9.03,1.08,7.66
36,London,Wimbledon,01/07/2025,Grand Slam,Outdoor,Grass,1st Round,5,Shelton B.,Bolt A.,10,179,3130,309,6,4,7,6,7,6,,,,,3,0,Completed,1.25,4,1.28,3.94,1.3,4.2,1.26,3.84
36,London,Wimbledon,01/07/2025,Grand Slam,Outdoor,Grass,1st Round,5,Opelka R.,Shevchenko A.,70,98,877,610,6,3,7,5,7,6,,,,,3,0,Completed,1.33,3.25,1.35,3.49,1.39,3.49,1.34,3.27
36,London,Wimbledon,01/07/2025,Grand Slam,Outdoor,Grass,1st Round,5,Monfils G.,Humbert U.,48,18,1165,2285,6,4,3,6,6,7,7,5,6,2,3,2,Completed,3.4,1.33,3.52,1.34,3.65,1.37,3.35,1.33
36,London,Wimbledon,01/07/2025,Grand Slam,Outdoor,Grass,1st Round,5,Fucsovics M.,Kovacevic A.,105,76,564,799,6,3,6,7,6,1,5,7,6,4,3,2,Completed,1.25,3.75,1.29,3.9,1.29,4.3,1.26,3.83
36,London,Wimbledon,01/07/2025,Grand Slam,Outdoor,Grass,1st Round,5,Dimitrov G.,Nishioka Y.,21,82,2155,724,6,2,6,3,6,4,,,,,3,0,Completed,1.18,5,1.21,4.94,1.21,5.7,1.18,4.94
36,London,Wimbledon,01/07/2025,Grand Slam,Outdoor,Grass,1st Round,5,Hijikata R.,Goffin D.,87,63,693,930,6,3,6,1,6,1,,,,,3,0,Completed,1.6,2.38,1.62,2.42,1.66,2.46,1.59,2.33
36,London,Wimbledon,01/07/2025,Grand Slam,Outdoor,Grass,1st Round,5,Pinnington Jones J.,Etcheverry T.,281,53,196,1025,7,6,6,3,7,5,,,,,3,0,Completed,2.75,1.45,2.77,1.5,2.84,1.53,2.66,1.47
36,London,Wimbledon,01/07/2025,Grand Slam,Outdoor,Grass,1st Round,5,Draper J.,Baez S.,4,38,4650,1370,6,2,6,2,2,1,,,,,2,0,Retired,1.02,15,,,1.02,36,1.01,20.67
36,London,Wimbledon,01/07/2025,Grand Slam,Outdoor,Grass,1st Round,5,Giron M.,Ugo Carabelli C.,45,56,1200,1006,7,6,7,6,6,3,,,,,3,0,Completed,1.06,9,1.08,10.42,1.09,13,1.06,9.73
36,London,Wimbledon,01/07/2025,Grand Slam,Outdoor,Grass,1st Round,5,Djokovic N.,Muller A.,6,41,4630,1311,6,1,6,7,6,2,6,2,,,3,1,Completed,1.02,15,1.03,24.43,1.03,34,1.02,18.3
36,London,Wimbledon,02/07/2025,Grand Slam,Outdoor,Grass,1st Round,5,Nakashima B.,Bu Y.,34,71,1650,874,6,4,4,6,7,6,6,4,,,3,1,Completed,1.13,6,1.15,6.44,1.18,6.5,1.13,5.96
36,London,Wimbledon,02/07/2025,Grand Slam,Outdoor,Grass,2nd Round,5,Norrie C.,Tiafoe F.,61,12,952,2990,4,6,6,4,6,3,7,5,,,3,1,Completed,2.5,1.53,2.59,1.57,2.66,1.59,2.48,1.54
36,London,Wimbledon,02/07/2025,Grand Slam,Outdoor,Grass,2nd Round,5,Fonseca J.,Brooksby J.,54,101,1016,577,6,4,5,7,6,2,6,4,,,3,1,Completed,1.44,2.8,1.45,3,1.49,3,1.45,2.76
36,London,Wimbledon,02/07/2025,Grand Slam,Outdoor,Grass,2nd Round,5,Mannarino A.,Royer V.,123,113,477,513,6,4,6,4,5,7,7,6,,,3,1,Completed,1.44,2.8,1.44,3.03,1.5,3.05,1.44,2.79
36,London,Wimbledon,02/07/2025,Grand Slam,Outdoor,Grass,2nd Round,5,Jarry N.,Tien L.,143,62,418,940,6,2,6,2,6,3,,,,,3,0,Completed,1.67,2.2,1.76,2.2,1.77,2.24,1.68,2.18
36,London,Wimbledon,02/07/2025,Grand Slam,Outdoor,Grass,2nd Round,5,Khachanov K.,Mochizuki S.,20,144,2240,413,1,6,7,6,4,6,6,3,6,4,3,2,Completed,1.14,5.5,1.14,6.76,1.16,7,1.13,5.81
36,London,Wimbledon,02/07/2025,Grand Slam,Outdoor,Grass,2nd Round,5,Rublev A.,Harris L.,14,320,2920,159,6,7,6,4,7,6,6,3,,,3,1,Completed,1.29,3.75,1.31,3.81,1.33,3.9,1.29,3.6
36,London,Wimbledon,02/07/2025,Grand Slam,Outdoor,Grass,2nd Round,5,Borges N.,Harris B.,37,151,1400,383,6,3,6,4,7,6,,,,,3,0,Completed,1.53,2.5,1.58,2.56,1.6,2.62,1.56,2.4
36,London,Wimbledon,02/07/2025,Grand Slam,Outdoor,Grass,2nd Round,5,Alcaraz C.,Tarvet O.,2,733,9300,36,6,1,6,4,6,4,,,,,3,0,Completed,1.01,12,,,1.03,34,1.01,19.33
36,London,Wimbledon,02/07/2025,Grand Slam,Outdoor,Grass,2nd Round,5,Thompson J.,Bonzi B.,44,64,1200,930,7,5,6,7,4,6,6,2,6,4,3,2,Completed,2.5,1.53,2.46,1.62,2.66,1.62,2.52,1.52
36,London,Wimbledon,02/07/2025,Grand Slam,Outdoor,Grass,2nd Round,5,Bellucci M.,Lehecka J.,73,25,864,1965,7,6,6,1,7,5,,,,,3,0,Completed,4.5,1.2,5.04,1.21,5.3,1.22,4.57,1.2
36,London,Wimbledon,02/07/2025,Grand Slam,Outdoor,Grass,2nd Round,5,Majchrzak K.,Quinn E.,109,89,527,682,6,1,6,4,6,3,,,,,3,0,Completed,2.2,1.62,2.26,1.72,2.3,1.75,2.16,1.69
36,London,Wimbledon,02/07/2025,Grand Slam,Outdoor,Grass,2nd Round,5,Fritz T.,Diallo G.,5,40,4635,1322,3,6,6,3,7,6,4,6,6,3,3,2,Completed,1.3,3.6,1.32,3.76,1.36,3.9,1.3,3.5
36,London,Wimbledon,03/07/2025,Grand Slam,Outdoor,Grass,2nd Round,5,Kecmanovic M.,De Jong J.,49,106,1106,548,1,6,6,3,6,2,6,4,,,3,1,Completed,1.4,3,1.41,3.17,1.45,3.2,1.39,2.99
36,London,Wimbledon,03/07/2025,Grand Slam,Outdoor,Grass,2nd Round,5,Mensik J.,Giron M.,17,45,2356,1200,6,4,3,6,6,4,7,6,,,3,1,Completed,1.53,2.5,1.59,2.53,1.59,2.7,1.52,2.51
36,London,Wimbledon,03/07/2025,Grand Slam,Outdoor,Grass,2nd Round,5,De Minaur A.,Cazaux A.,11,115,3085,505,4,6,6,2,6,4,6,0,,,3,1,Completed,1.08,8,1.1,8.61,1.1,10,1.08,7.7
36,London,Wimbledon,03/07/2025,Grand Slam,Outdoor,Grass,2nd Round,5,Cobolli F.,Pinnington Jones J.,24,281,2035,196,6,1,7,6,6,2,,,,,3,0,Completed,1.36,3.2,1.4,3.25,1.41,3.35,1.38,3.06
